Image,Path,Label
ISIC_0000000,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000000.jpg,0
ISIC_0000001,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000001.jpg,0
ISIC_0000002,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000002.jpg,0
ISIC_0000003,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000003.jpg,0
ISIC_0000004,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000004.jpg,0
ISIC_0000006,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000006.jpg,0
ISIC_0000007,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000007.jpg,0
ISIC_0000008,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000008.jpg,0
ISIC_0000009,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000009.jpg,0
ISIC_0000010,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000010.jpg,0
ISIC_0000011,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000011.jpg,0
ISIC_0000012,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000012.jpg,0
ISIC_0000013,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000013.jpg,0
ISIC_0000014,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000014.jpg,0
ISIC_0000015,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000015.jpg,0
ISIC_0000016,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000016.jpg,0
ISIC_0000017,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000017.jpg,0
ISIC_0000018,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000018.jpg,0
ISIC_0000019,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000019.jpg,0
ISIC_0000020,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000020.jpg,0
ISIC_0000021,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000021.jpg,0
ISIC_0000022,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000022.jpg,0
ISIC_0000023,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000023.jpg,0
ISIC_0000024,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000024.jpg,0
ISIC_0000025,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000025.jpg,0
ISIC_0000026,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000026.jpg,0
ISIC_0000027,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000027.jpg,0
ISIC_0000028,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000028.jpg,0
ISIC_0000029,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000029.jpg,0
ISIC_0000030,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000030.jpg,0
ISIC_0000031,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000031.jpg,0
ISIC_0000032,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000032.jpg,0
ISIC_0000034,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000034.jpg,0
ISIC_0000035,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000035.jpg,0
ISIC_0000036,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000036.jpg,0
ISIC_0000037,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000037.jpg,0
ISIC_0000038,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000038.jpg,0
ISIC_0000039,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000039.jpg,0
ISIC_0000040,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000040.jpg,0
ISIC_0000041,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000041.jpg,0
ISIC_0000042,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000042.jpg,0
ISIC_0000043,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000043.jpg,0
ISIC_0000044,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000044.jpg,0
ISIC_0000045,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000045.jpg,0
ISIC_0000046,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000046.jpg,0
ISIC_0000047,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000047.jpg,0
ISIC_0000048,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000048.jpg,0
ISIC_0000049,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000049.jpg,0
ISIC_0000050,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000050.jpg,0
ISIC_0000051,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000051.jpg,0
ISIC_0000052,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000052.jpg,0
ISIC_0000053,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000053.jpg,0
ISIC_0000054,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000054.jpg,0
ISIC_0000055,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000055.jpg,0
ISIC_0000056,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000056.jpg,0
ISIC_0000057,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000057.jpg,0
ISIC_0000059,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000059.jpg,0
ISIC_0000061,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000061.jpg,0
ISIC_0000062,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000062.jpg,0
ISIC_0000063,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000063.jpg,0
ISIC_0000064,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000064.jpg,0
ISIC_0000065,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000065.jpg,0
ISIC_0000066,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000066.jpg,0
ISIC_0000067,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000067.jpg,0
ISIC_0000068,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000068.jpg,0
ISIC_0000069,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000069.jpg,0
ISIC_0000071,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000071.jpg,0
ISIC_0000072,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000072.jpg,0
ISIC_0000073,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000073.jpg,0
ISIC_0000074,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000074.jpg,0
ISIC_0000075,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000075.jpg,0
ISIC_0000077,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000077.jpg,0
ISIC_0000078,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000078.jpg,0
ISIC_0000079,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000079.jpg,0
ISIC_0000080,D:/CS ML/dataset\ISIC-2017_Training_Data\ISIC_0000080.jpg,0
